#ID,scale_rad,e_srad,dens,e_sdens,r200_est,r500_est,m200_est,m500_est,snapnum 
319025649000053,0.356783187797,0.0131479133566,6.95622582459e+14,3.99666514579e+13,0.963255573858,0.604838641362,2.225521654e+14,1.377102952e+14,59.0
5000059000002,0.154032581041,0.00591945057847,2.38073365566e+15,1.74861726197e+14,0.833920833404,0.520843689701,1.386285476e+14,8.44482104e+13,61.0
337000110000003,0.208018393648,0.00735395258179,1.64988187681e+15,1.03603809926e+14,0.897573577387,0.589427579669,1.75617925e+14,1.249314262e+14,60.0
206000102000002,0.104072270795,0.00367979313028,8.14109393425e+15,6.02754792506e+14,0.828740372955,0.568319417192,1.363139658e+14,1.099051646e+14,61.0
118000045000003,0.207640189896,0.00554587407746,2.32942963507e+15,1.1055739883e+14,0.989418253225,0.653870856754,2.35842706e+14,1.698482678e+14,60.0
35000044039485,0.176224566064,0.00506918158488,2.74056101234e+15,1.45827266509e+14,0.934028826054,0.599972732787,1.989644492e+14,1.31975094e+14,60.0
190004177000004,0.370750680759,0.0111197295667,8.68284601079e+14,4.02399130981e+13,1.2394087358,0.774070526756,4.745220022e+14,2.883131642e+14,59.0
76000028018295,0.177990236548,0.00662452061418,2.00168749535e+15,1.37473234911e+14,0.778466108001,0.518161201492,1.148470164e+14,8.45042014e+13,60.0
477004680000528,0.219499875885,0.00685256879638,1.54426533923e+15,8.45103031887e+13,0.880407500617,0.577610739797,1.657488652e+14,1.174114042e+14,60.0
134007602005416,0.210112399335,0.0072726607623,1.55641315839e+15,9.54527180944e+13,0.92697519721,0.563222433707,1.986698504e+14,1.113686832e+14,59.0
198000095000003,0.584169056204,0.0425231026249,1.4417354569e+14,1.46809466672e+13,0.828308274955,0.477400313249,1.386673106e+14,6.6314879e+13,60.0
12000053000004,0.234813020173,0.00879330634623,1.32121640661e+15,8.53136654155e+13,0.98309283152,0.642301399077,2.366326098e+14,1.648702372e+14,59.0
154000061000005,0.271266128318,0.0063489524132,1.94306295913e+15,7.56992219756e+13,1.18930007028,0.770405872871,4.274585518e+14,2.91015376e+14,58.0
460000053000004,0.188644319992,0.00576789206577,2.08809157239e+15,1.16152747152e+14,0.839798233845,0.560409304178,1.473459156e+14,1.094856628e+14,59.0
128008176000136,0.23131805375,0.00722029222645,2.08631493586e+15,1.12721035489e+14,1.08564589485,0.728799769636,3.262027046e+14,2.456049522e+14,58.0
331001627000002,0.146397802256,0.00622097584068,2.45526762947e+15,2.0183689041e+14,0.744577924813,0.491256984823,9.85338232e+13,7.09741916e+13,61.0
508000123000002,0.207923871704,0.00625146611248,1.92183380144e+15,1.02644983659e+14,0.966937549619,0.612729864707,2.158788996e+14,1.378377824e+14,61.0
300003562000003,0.158554333565,0.00549431324162,2.37017595256e+15,1.55884448064e+14,0.809873804031,0.515191834603,1.292901102e+14,8.34128076e+13,60.0
477004683000004,0.183021130203,0.00799331813045,1.41485417108e+15,1.13249025089e+14,0.699110654313,0.458691926963,8.50425764e+13,5.98561018e+13,59.0
305000063032005,0.220172417042,0.00800292202076,1.39653585699e+15,8.89210833075e+13,0.931394135164,0.593598661398,1.937779598e+14,1.248745738e+14,61.0
302000001000003,0.163333143628,0.00543700590577,2.57769484924e+15,1.616670591e+14,0.82256020452,0.535023911944,1.352087896e+14,9.30372298e+13,60.0
116000050000003,0.352106037612,0.0112456920867,7.14560716693e+14,3.56901508829e+13,0.913203174293,0.587807169754,1.85386201e+14,1.239925002e+14,60.0
114014934000003,0.171836517206,0.00608265352709,2.43172753692e+15,1.6020916833e+14,0.903142796025,0.57915131879,1.793202222e+14,1.18218536e+14,60.0
308002278000002,0.0706825468995,0.00397186803698,1.19493941976e+16,1.52448267658e+15,0.740438623428,0.468763442494,9.7256367e+13,6.16426454e+13,61.0
334006411003054,5.12285238001,0.950741523538,1.03930058804e+13,2.05404300183e+12,0.959596196823,0.515755367863,2.11887172e+14,8.19467048e+13,61.0
176003237000224,0.153921062221,0.0068192523167,2.32239889482e+15,1.9663707114e+14,0.775888550342,0.508742770347,1.1142209e+14,7.87784756e+13,61.0
312000057000002,0.184027804907,0.00537130529647,2.74932695494e+15,1.46879180883e+14,1.07480594659,0.672632852181,2.973234082e+14,1.816399724e+14,61.0
285006846019304,0.437972614847,0.0110945371259,1.18702413734e+15,4.47433166182e+13,1.33637479454,0.885542688916,6.053497114e+14,4.40481197e+14,58.0
313000079000003,0.141498316157,0.00433409930877,3.70391530611e+15,2.21278928125e+14,0.884857349171,0.585126285383,1.68313253e+14,1.217571672e+14,60.0
394000069000002,0.196278549042,0.00638328987526,1.87843304712e+15,1.10061942771e+14,0.861913239147,0.582765357595,1.530096206e+14,1.185562048e+14,61.0
104000023005764,0.55502181186,0.0270307451,2.22513979425e+14,1.53125767946e+13,0.806225829031,0.50916465223,1.334144934e+14,8.41036504e+13,58.0
302007333000003,0.134561501608,0.00413716736596,5.2786003736e+15,3.20346148607e+14,0.928472268816,0.628367525624,1.951312192e+14,1.507165738e+14,60.0
257000034000004,0.285649202928,0.00905749095337,9.70024733726e+14,5.05654945644e+13,0.950438984312,0.622750343521,2.141345646e+14,1.503857962e+14,59.0
454000109000003,0.195438205998,0.00538385438045,2.32823184582e+15,1.15679805926e+14,0.959161335531,0.628704907297,2.152440478e+14,1.514410112e+14,60.0
453000138005002,0.232497435895,0.0100303939518,1.10122780051e+15,8.21173061381e+13,0.763259918947,0.481467854272,1.086966204e+14,6.79679056e+13,60.0
200016645001532,0.860307978229,0.0552900637779,8.71475989394e+13,7.27190811958e+12,0.834723874034,0.460321551261,1.390334056e+14,5.83185028e+13,61.0
62010362000002,0.158385644234,0.00434724510544,3.54197712489e+15,1.84558032321e+14,1.0332329032,0.635768093548,2.641043786e+14,1.534549644e+14,61.0
242000071000003,0.546553443276,0.0274053774857,2.40797248733e+14,1.71203995938e+13,0.749794230973,0.500853021585,1.025126298e+14,7.63941204e+13,60.0
34010484000003,0.590420508887,0.0211715071589,3.69555240913e+14,1.84951710344e+13,1.20877942835,0.785415739868,4.316923328e+14,2.953775056e+14,60.0
341000117000004,0.244194074853,0.00540298397178,2.5736759661e+15,9.72430486534e+13,1.29195982406,0.84199360391,5.37181961e+14,3.712151616e+14,59.0
202015315000364,0.145143359769,0.00438632941548,3.77621437589e+15,2.21245342581e+14,0.877193559079,0.582949909949,1.61934586e+14,1.182693586e+14,61.0
