#ID,scale_rad,e_srad,dens,e_sdens,r200_est,r500_est,m200_est,m500_est,HVD200,HVD500,snapnum,redshift,h(z) 
118000045000003,0.185183730877,0.00494327086859,3.09991920681e+15,1.51231702024e+14,1.00780135418,0.6680662063,2.4960382e+14,1.8192526e+14,688.82219586,725.351136984,60.0,0.064493395,1.02545436669
35000044039485,0.164988498433,0.00487963231108,3.32416699987e+15,1.84807906221e+14,0.971575466253,0.616568355972,2.2379006e+14,1.424848e+14,663.552313571,691.617202322,60.0,0.064493395,1.02545436669
190004177000004,0.38308732327,0.0102939306615,9.2190977223e+14,3.79845179055e+13,1.29006975333,0.808405125695,5.344384e+14,3.291048e+14,907.836655641,935.820548536,59.0,0.08928783,1.03591653508
76000028018295,0.170918675593,0.00644693218722,2.31008994543e+15,1.62399526828e+14,0.791781457493,0.527024140315,1.2101232e+14,8.945204e+13,556.525406151,587.750690415,60.0,0.064493395,1.02545436669
477004680000528,0.201057987247,0.00617239025864,1.9518960816e+15,1.07327780084e+14,0.893478343094,0.593138060878,1.7380686e+14,1.2720604e+14,607.293349709,634.380750466,60.0,0.064493395,1.02545436669
134007602005416,0.177867593778,0.00585728721764,2.34653992762e+15,1.42606629774e+14,0.991868645319,0.595282444255,2.4306696e+14,1.3097886e+14,647.249910372,638.094733449,59.0,0.08928783,1.03591653508
198000095000003,0.795743099278,0.0593143475467,1.0178112587e+14,9.98642427697e+12,0.852682257632,0.517784843123,1.5093946e+14,8.46068e+13,530.725462684,528.345747949,60.0,0.064493395,1.02545436669
12000053000004,0.230738190495,0.00810405982769,1.50768836561e+15,9.16860061086e+13,1.00145567517,0.67479430468,2.495548e+14,1.90834e+14,705.143174401,728.608966494,59.0,0.08928783,1.03591653508
154000061000005,0.214959681766,0.00472261742231,3.38121298603e+15,1.30879113664e+14,1.22938028143,0.809676962269,4.7299828e+14,3.3716214e+14,930.632437394,971.795329592,58.0,0.11588337,1.04755586593
460000053000004,0.179829694858,0.00550629187341,2.50310175464e+15,1.41077379918e+14,0.859723311873,0.577078666596,1.5774636e+14,1.192949e+14,589.487653929,619.893267656,59.0,0.08928783,1.03591653508
128008176000136,0.278090908459,0.0080838575352,1.70940079891e+15,8.22277121289e+13,1.11392164779,0.757456856182,3.50235e+14,2.7623974e+14,853.361231678,891.719073175,58.0,0.11588337,1.04755586593
331001627000002,0.150751830929,0.00621991905249,2.40332757746e+15,1.90496767454e+14,0.752825462561,0.499441876459,1.02082e+14,7.468498e+13,488.696170361,505.632370059,61.0,0.041403063,1.01604906422
508000123000002,0.194841895288,0.00500932570154,2.27077759969e+15,1.05374466238e+14,0.984625584399,0.62205620131,2.2769618e+14,1.438393e+14,662.834687994,679.734812488,61.0,0.041403063,1.01604906422
300003562000003,0.146543638674,0.00523627457384,2.95010212453e+15,2.03896983659e+14,0.83595182624,0.531781066206,1.4252264e+14,9.16115e+13,572.660248949,606.33773147,60.0,0.064493395,1.02545436669
477004683000004,0.177029222101,0.00751735294495,1.64793909467e+15,1.29304627206e+14,0.72061710774,0.472802477995,9.294622e+13,6.570916e+13,500.738295923,517.278097616,59.0,0.08928783,1.03591653508
305000063032005,0.218150822142,0.00764846750269,1.48579464199e+15,9.14579966303e+13,0.94539143638,0.60612520506,2.027579e+14,1.3309704e+14,628.962486134,649.140694149,61.0,0.041403063,1.01604906422
302000001000003,0.160935286457,0.00515810619412,2.81973563441e+15,1.70895652755e+14,0.841776756231,0.54752307567,1.450433e+14,1.00104e+14,577.978705102,615.779093278,60.0,0.064493395,1.02545436669
116000050000003,0.310467832289,0.00913866933424,9.59288348745e+14,4.55036903566e+13,0.938170232937,0.600269050634,2.0158142e+14,1.320788e+14,646.120342244,666.818613375,60.0,0.064493395,1.02545436669
114014934000003,0.184172305151,0.00592155904132,2.26425403106e+15,1.33227094086e+14,0.924947164406,0.596681645373,1.928421e+14,1.2915136e+14,619.513969241,643.671373072,60.0,0.064493395,1.02545436669
308002278000002,0.0638473234756,0.00389164613312,1.55856735141e+16,2.19944545811e+15,0.752774745142,0.479205399267,1.0206136e+14,6.585794e+13,499.320653397,521.567825562,61.0,0.041403063,1.01604906422
334006411003054,5.40926415361,0.996262902562,1.05130690045e+13,2.05574002493e+12,1.00441996982,0.536570758586,2.429715e+14,9.24113e+13,666.820978586,685.201862293,61.0,0.041403063,1.01604906422
176003237000224,0.169254894649,0.00696677840788,1.99968937779e+15,1.53766790509e+14,0.784612099654,0.517346764944,1.1547478e+14,8.273716e+13,516.910965779,538.107767302,61.0,0.041403063,1.01604906422
312000057000002,0.178497445767,0.00502794538387,3.03967704453e+15,1.57868388166e+14,1.09172970386,0.689658639142,3.1037056e+14,1.9650226e+14,697.287828738,726.898867331,61.0,0.041403063,1.01604906422
285006846019304,0.352348329318,0.0087026574974,1.96942812394e+15,7.6059523474e+13,1.37826327395,0.922744317213,6.670375e+14,4.9878968e+14,1052.28769173,1110.65978066,58.0,0.11588337,1.04755586593
